Platform,Name,Summary,Severity,Date,Discoverer,Customer action,References
GCP,Default compute account is project Editor,"When the compute API is enabled on a GCP Project, the default compute account is created. This account gets the primitive role Editor assigned by default, which allows for a wide variety of privilege excalation and resource abuse in the project. Especially, all new VMs created inherit this permissions by default. This issue is arguably a technical decision by GCP, but the documents advise customers to undo this.",Medium,Since the creation of GCP,,"Remove these permissions, it can be done via an organization policy",https://cloud.google.com/resource-manager/docs/organization-policy/restricting-service-accounts#disable_service_account_default_grants
AWS,Signature version 1 (SigV1) is insecure,"When making authenticated API requests to AWS, the requests must be signed with your AWS access key. The initial signing algorithm, SigV1, was vulnerable to collisions. A person-in-the-middle attack would be able to modify signed requests via specially constructed collisions.",Medium,"December 18th, 2008",Colin Percival,"N/A, SigV1 is deprecated at this point",http://www.daemonology.net/blog/2008-12-18-AWS-signature-version-1-is-insecure.html
AWS,AWS published official AMIs with recoverable deleted files,"Researchers, while investigating the security posture of Public AMIs, were able to undeleted 8,996 files from an official image that was published by Amazon AWS.",Low,"Jun 6, 2011","Marco Balduzzi, Jonas Zaddach, Davide Balzarotti, Engin Kirda, Sergio Loureiro",Follow [best practices](https://aws.amazon.com/articles/how-to-share-and-use-public-amis-in-a-secure-manner/) when sharing Public AMIs,http://seclab.nu/static/publications/sac2012ec2.pdf
AWS,Bypasses in IAM policies and over-privileged,"Repeated examples of AWS provided managed policies or guidance in documentation for policies with mistakes that allow the policies to by bypassed. Generically, there are also over-privileged policies and policies with spelling mistakes and other issues.",Medium,"November 17, 2017","Scott Piper, Duo Labs + Summit Route",Review the policies provided by AWS,"https://duo.com/blog/potential-gaps-in-suggested-amazon-web-services-security-policies-for-mfa, https://summitroute.com/blog/2019/06/18/aws_iam_managed_policy_review/, https://medium.com/ymedialabs-innovation/an-aws-managed-policy-that-allowed-granting-root-admin-access-to-any-role-51b409ea7ff0"
Azure,CSV Injection in Activity Log,"An Azure user can attempt (but fail) to create an Azure “Resource Group” with a malicious name. In setting this name as a Microsoft Excel formula, the system would reject the syntax (due to certain blacklisted characters) but still log the original string in the Azure “Activity Log”. When a victim user downloaded the – now infected – CSV logs and opened them in Excel, the attacker’s remote code was executed, compromising the user (and likely their Azure account as well). The single set of Activity Logs also means a lower-privileged user could use this attack to target administrative users.",Low,"December 21, 2017","Spencer Gietzen, Rhino Security Labs","CSV logs had a .txt appended, which should not be removed",https://rhinosecuritylabs.com/aws/cloud-security-csv-injection-aws-cloudtrail/
AWS,CSV Injection in Cloudtrail,"Users with ‘CreateTrail’ permissions within an AWS CloudTrail account can attempt to create a trail with a malicious Excel formula as the name. Although the attempt will fail, the event will be logged to AWS CloudTrail’s event history. This entry will include the “Resource name” column referring to the rejected name. This allows for an Excel formula to be injected into the CloudTrail logs. When another user exports that data as a .csv file and imports it into Excel, it allows an attacker to execute malicious code on user’s computer.",Low,"December 13, 2017","Spencer Gietzen, Rhino Security Labs",[Always disable links or macros from downloaded event history files](https://docs.aws.amazon.com/awscloudtrail/latest/userguide/view-cloudtrail-events-console.html#downloading-events),https://rhinosecuritylabs.com/aws/cloud-security-csv-injection-aws-cloudtrail/
AWS,Launching EC2s did not require specifying AMI owner: CVE-2018-15869,Attackers had put malicious AMIs in the marketplace,Medium,"August 13, 2018",Megan Marsh (https://github.com/SwampDragons),Update CLI and other tools that create EC2s,https://github.com/hashicorp/packer/issues/6584
AWS,Resource policy confused deputy issue with services,"Resource policies lacked a way of restricting service access to only your own account, allowing an attacker to leverage a service to potentially access your resources. Originally discovered by Dan Peebles and presented at re:Invent in 2018, this issue did not gain enough attention to be fixed until Shir Tamari and Ami Luttwak from Wiz presented it at Black Hat 2021.",Low,"November 28, 2018","Dan Peebles, Bridgewater",Update vulnerable IAM policies (add scoping condition),"https://www.youtube.com/watch?v=F3JmBhTQmyY&t=2475s, https://www.wiz.io/blog/black-hat-2021-aws-cross-account-vulnerabilities-how-isolated-is-your-cloud-environment"
Azure,Cloudshell terminal escape,If attacker controlled data is viewed in Cloudshell it could have led to code execution.,Medium,"January 9, 2019","Felix Wilhelm, Google",N/A,https://twitter.com/_fel1x/status/1083085715565621250
AWS,VPC Hosted Zones unauditable,"For 6 years, it was not possible to see what hosted zones an attacker may have created in an account.",Low,"May 13, 2019",Ryan Gerstenkorn (https://twitter.com/Ryan_Jarv/),Audit your VPC hosted zones,"https://twitter.com/__steele/status/1273748905826455552, https://blog.ryanjarv.sh/2019/05/24/backdooring-route53-with-cross-account-dns.html"
AWS,S3 Bucket Namesquatting,"In 52 different cases, it was possible to predict bucket names used by AWS services for unreleased regions, and register those buckets in the global namespace.",High,"July 31, 2019",Ian McKay (https://twitter.com/iann0036),"If you use bucket names with region substitution in cloudformation templates, you should use a region mapping or a process which allows a single bucket to be used in your solution",https://onecloudplease.com/blog/s3-bucket-namesquatting
AWS,ALB HTTP request smuggling,ALBs found vulnerable to HTTP request smuggling (desync attack).,Medium,"October 4, 2019","Arkadiy Tetelman (https://twitter.com/arkadiyt), Chime; original issue by James Kettle (https://twitter.com/albinowax), Portswigger",Configure setting on your ALBs,"https://twitter.com/arkadiyt/status/1180174359840862209, https://docs.aws.amazon.com/elasticloadbalancing/latest/application/application-load-balancers.html#load-balancer-attributes"
AWS,"AWS employee posts confidential AWS data, including possibly customer access keys and other customer information","AWS employee pushed data to a public github bucket. AWS's public statement is that ""the code repository was used by the engineer in a personal capacity, and claimed no customer data or company systems were exposed."" but it appears that minimally there was AWS confidential data, and also may have included various forms of confidential customer information (correspondance, access keys, and more). See the referenced stories and debate [here](https://github.com/SummitRoute/csp_security_mistakes/issues/17).",Critical,"January 13, 2020",Upguard,Roll impacted credentials,"https://www.upguard.com/breaches/identity-and-access-misstep-how-an-amazon-engineer-exposed-credentials-and-more, https://www.theregister.com/2020/01/23/aws_engineer_credentials_github/"
GCP,AI Hub Jupyter Notebook instance CSRF,AI Hub Jupyter Notebook server lacked a check of the Origin header that led to a CSRF vulnerability. An attacker could have read sensitive data and execute arbitrary actions in customer environments.,Medium,"March 10, 2020",s1r1us,N/A,https://blog.s1r1us.ninja/research/cookie-tossing-to-rce-on-google-cloud-jupyter-notebooks
AWS,GuardDuty detection bypass via cloudtrail:PutEventSelectors,"GuardDuty detects CloudTrail being disabled, but did not detect if you filtered out all events from CloudTrail, resulting in defenders having no logs to review. Require privileged access in victim account, resulting in limited visibility.",Low,"April 23, 2020","Spencer Gietzen, Rhino Security",Setup detections independent of GuardDuty,https://github.com/RhinoSecurityLabs/Cloud-Security-Research/tree/master/AWS/cloudtrail_guardduty_bypass
AWS,AssumeRole vendor issues with confused deputy,You may be able to access other AWS customers through their vendors,Medium,"June 12, 2020","Kesten Broughton, Praetorian",Audit your vendor roles,https://www.praetorian.com/blog/aws-iam-assume-role-vulnerabilities/
Azure,GKE CAP_NET_RAW metadata service MITM root privilege escalation,"An attacker gaining access to a hostNetwork=true container with CAP_NET_RAW capability can listen to all the traffic going through the host and inject arbitrary traffic, allowing to tamper with most unencrypted traffic (HTTP, DNS, DHCP, …), and disrupt encrypted traffic. In GKE the host queries the metadata service at http://169.254.169.254 to get information, including the authorized ssh keys. By manipulating the metadata service responses, injecting our own ssh key, it is possible to gain root privilege on the host.",Medium,"June 15, 2020",Etienne Champetier,N/A,https://blog.champtar.fr/Metadata_MITM_root_EKS_GKE/
AWS,XSS on EC2 web console,Display of EC2 tags had XSS,Low,"July 1, 2020",Johann Rehberger,N/A,https://embracethered.com/blog/posts/2020/aws-xss-cross-site-scripting-vulnerability/
AWS,S3 Crypto SDK vulns: CVE-2020-8912 and CVE-2020-8911,,Low,"July 1, 2020","Sophie Schmieg, Google",Update SDK,"https://twitter.com/SchmiegSophie/status/1292930639772004352, https://github.com/google/security-research/security/advisories/GHSA-76wf-9vgp-pj7w, https://github.com/google/security-research/security/advisories/GHSA-f5pg-7wfw-84q9, https://github.com/google/security-research/security/advisories/GHSA-7f33-f4f5-xwgw, https://aws.amazon.com/blogs/developer/updates-to-the-amazon-s3-encryption-client/"
AWS,Terms and conditions allows sharing customer data,Use of the AI services on AWS allows customer data to be moved outside of the regions it is used in and potentially shared with third-parties.,Medium,"July 8, 2020",Ben Bridts,Opt out via Organization AI opt-out policy: https://summitroute.com/blog/2021/01/06/opting_out_of_aws_ai_data_usage/,https://twitter.com/benbridts/status/1280934515305824256
AWS,Execution in CloudFormation service account,"Ability to run arbitrary Lambda code in an AWS managed account, with privileges to access some data of other customer accounts",Critical,"August 26, 2020",Aidan Steele (https://twitter.com/__steele) and Ian Mckay (https://twitter.com/iann0036),N/A,https://onecloudplease.com/blog/security-september-cataclysms-in-the-cloud-formations
AWS,CloudFormation denial of service (in a single account),An attacker with the ability to create CloudFormation stacks could cause a denial-of-service on some CloudFormation actions within a single AWS account.,Low,"September 1, 2020", Ian McKay (https://twitter.com/iann0036),N/A,https://onecloudplease.com/blog/security-september-fun-with-fncidr
AWS,"Identification of privileges without being logged by CloudTrail
","An attacker could figure out what privileges they have in a victim account, without being logged in CloudTrail. It took AWS over 273 days to fix this.",Low,"September 2, 2020", Nick Frichette (https://twitter.com/Frichette_n),N/A,"https://frichetten.com/blog/aws-api-enum-vuln/, https://github.com/Frichetten/aws_stealth_perm_enum"
AWS,Timing attack against CloudWatch Synthetics,Ability to violate the immutability of Lambda versions via a timing attack against CloudWatch Synthetics.,Low,"September 15, 2020", Ian McKay (https://twitter.com/iann0036),N/A,https://onecloudplease.com/blog/security-september-racing-against-cloudwatch-synthetics-canaries
AWS,CloudFormer review,Audit of AWS open-source project identifies so many issues AWS takes it down,Low,"September 25, 2020",Karim El-Melhaoui (https://twitter.com/KarimMelhaoui),N/A,https://blog.karims.cloud/2020/09/25/cloudformer-review-part-1.html
GCP,DHCP abuse for code exec,"Under certain conditions (which I don't entirely understand), an attacker can flood DHCP packets to the victim VM, allowing it to impersonate the Metadata server, and grant themself SSH access.",Medium,"September 26, 2020", Imre Rad,N/A,https://github.com/irsl/gcp-dhcp-takeover-code-exec
AWS,Encryption SDK issues,,Low,"September 28, 2020","Thái ""thaidn"" Dương (https://twitter.com/XorNinja), Google",Update SDK,"https://twitter.com/XorNinja/status/1310587707605659649, https://vnhacker.blogspot.com/2020/09/advisory-security-issues-in-aws-kms-and.html"
AWS,S3 bucket tagging not restricted,Lack of the privilege s3:PutBucketTagging did not restrict the ability to tag S3 buckets,Low,"September 28, 2020",Ian Mckay (https://twitter.com/iann0036),N/A,https://onecloudplease.com/blog/security-september-still-early-days-for-abac
AWS,Lack of internal change controls for IAM managed policies,"Repeated examples of AWS releasing or changing IAM policies they obviously shouldn't have (CheesepuffsServiceRolePolicy, AWSServiceRoleForThorInternalDevPolicy, AWSCodeArtifactReadOnlyAccess.json, AmazonCirrusGammaRoleForInstaller). The worst being the ReadOnlyAccess policy having almost all privileges removed and unexpected ones added.",Low,"October 15, 2020",Aidan Steele (https://twitter.com/__steele) ,"October 15, 2020",https://twitter.com/__steele/status/1316909785607012352
AWS,EKS CAP_NET_RAW metadata service MITM root privilege escalation,"On AWS EKS, an attacker able to get arbitrary code execution as root in a hostNetwork pod can use the CAP_NET_RAW capability to monitor and inject packets on the instance",Medium,"October 19, 2020",Etienne Champetier,N/A,https://blog.champtar.fr/Metadata_MITM_root_EKS_GKE/
AWS,Route table modification to imitate metadata service,"An attacker with sufficient privileges in AWS to modify the route table and some other EC2 privileges, could pretend to be a metadata server and provide an attacker controlled bootup script to EC2s to move laterally.",Low,"October 19, 2020", Ryan Gerstenkorn (https://twitter.com/Ryan_Jarv/),N/A,"https://github.com/RyanJarv/EC2FakeImds, https://blog.ryanjarv.sh/2020/10/19/imds-persistence.html"
AWS,"Fall 2020, SOC 2 Type 2 failure","Information is under NDA, but anyone with an AWS account can read it on page 120 and 121.",Low,"December 22, 2020",,N/A,https://twitter.com/awswhatsnew/status/1341461386983952384
AWS,Cloudshell terminal escape,If attacker controlled data is viewed in Cloudshell it could have led to code execution. This exact same issue existed in Azure previously.,Medium,"February 8, 2021","Felix Wilhelm, Google",N/A,"https://bugs.chromium.org/p/project-zero/issues/detail?id=2154, https://twitter.com/_fel1x/status/1391712232380194818"
GCP,Org policies bypass,"Allows an attacker with privileges in the account to share resources outside of the account even when an org policy restricts this, thus enabling them to backdoor their access.",Medium,"May 15, 2021",Kat Traxler (https://twitter.com/NightmareJS),N/A,https://kattraxler.github.io/gcp/hacking/2021/09/10/gcp-org-policy-bypass-ai-notebooks.html
AWS,XSS in web console,"If an attacker can launch elasticbeanstalk in the victim environment and get a victim to view a page in the web console, they can get XSS.",Low,"June 3, 2021",Nick Frichette (https://twitter.com/Frichette_n),N/A,"https://twitter.com/Frichette_n/status/1400517723910819844, https://frichetten.com/blog/xss_in_aws_console/"
AWS,Lightsail object storage access keys logged,Lightsail object storage allows the creation of access keys which were logged to CloudTrail (both access key and secret key),Medium,"August 5, 2021","Scott Piper, Summit Route",Roll access keys,https://summitroute.com/blog/2021/08/05/lightsail_object_storage_concerns-part_1/
Azure,ChaosDB,All CosmosDB customer data compromised. Series of mistakes by Azure shows systemic lack of security best practices.,Critical,"August 9, 2021","Nir Ohfeld and Sagi Tzadik, Wiz.io",Regenerate primary read/write key,"https://chaosdb.wiz.io/, https://www.wiz.io/blog/chaosdb-how-we-hacked-thousands-of-azure-customers-databases, https://www.wiz.io/blog/chaosdb-explained-azures-cosmos-db-vulnerability-walkthrough"
Azure,Azurescape,Cross-account container escape,Critical,"September 9, 2021","Yuval Avrahami, Palo Alto","""revoking any privileged credentials that were deployed to the platform before Aug. 31, 2021, and checking their access logs for irregularities.""",https://unit42.paloaltonetworks.com/azure-container-instances/
AWS,BreakingFormation,Read access of host of AWS internal Cloudformation service via XXE SSRF. The level of access with the compromised IAM role from there is unclear.,Critical,"September 9, 2021","Tzah Pahima, Orca",N/A,"https://orca.security/resources/blog/aws-cloudformation-vulnerability/, https://aws.amazon.com/security/security-bulletins/AWS-2022-001/"
Azure,Log analytics role privesc,Privilege escalation of Log Analytics Contributor role to Subscription Contributor role.,Medium,"September 13, 2021","Karl Fosaaen, SPI",N/A,https://www.netspi.com/blog/technical/cloud-penetration-testing/escalating-azure-privileges-with-the-log-analystics-contributor-role/
Azure,OMIGOD,"Azure forces the install of an agent on Linux VMs, which contained a vuln that would grant root RCE if an attacker could send a web request to them",Critical,"September 14, 2021","Nir Ohfeld, Wiz.io","N/A, client needed to be auto-updated",https://www.wiz.io/blog/secret-agent-exposes-azure-customers-to-unauthorized-code-execution
GCP,IAP bypass,Convincing a victim to click a specially crafted link would allow the attacker to bypass the Identity-Aware Proxy (a core component of BeyondCorp).,Medium,"September 17, 2021",,N/A,https://cloud.google.com/support/bulletins#gcp-2021-020
AWS,Workspace client RCE - CVE-2021-38112,"If a user with AWS WorkSpaces 3.0.10-3.1.8 installed visits a page in their web browser with attacker controlled content, the attacker can get zero click RCE under common circumstances.",High,"September 21, 2021","David Yesland, Rhino Security ",Update client to 3.1.9 or higher,https://rhinosecuritylabs.com/aws/cve-2021-38112-aws-workspaces-rce/
AWS,SuperGlue,Compromise of internal AWS Glue service to assume the glue role in any AWS account that used glue.,Critical,"September 30, 2021","Yanir Tsarimi, Orca",N/A,"https://orca.security/resources/blog/aws-glue-vulnerability/, https://aws.amazon.com/security/security-bulletins/AWS-2022-002/"
Azure,Active Directory information disclosure vulnerability (CVE-2021-42306),"Automation Account “Run as” credentials (PFX certificates) were being stored in cleartext, in Azure Active Directory (AAD). These credentials were available to anyone with the ability to read information about App Registrations (typically most AAD users).",High,"October 7, 2021","Karl Fosaaen, netspi",Regenerate exposed certificate,"https://msrc-blog.microsoft.com/2021/11/17/guidance-for-azure-active-directory-ad-keycredential-property-information-disclosure-in-application-and-service-principal-apis/, https://github.com/microsoft/aad-app-credential-tools/blob/main/azure-migrate/azure-migrate-credential-rotation-guide.md, https://www.netspi.com/blog/technical/cloud-penetration-testing/azure-cloud-vulnerability-credmanifest/"
AWS,API Gateway HTTP header smuggling,"A flaw in AWS API Gateway enabled hiding HTTP request headers. Tampering with HTTP requests visibility enabled bypassing IP restrictions, cache poisoning and request smuggling.",Low,"November 10, 2021"," Daniel Thatcher, intruder.io",N/A,https://www.intruder.io/research/practical-http-header-smuggling
AWS,"Fall 2021, SOC 2 Type 2 failure","Information is under NDA, but anyone with an AWS account can read it on page 98.",Low,"November 15, 2021",,N/A,https://twitter.com/AWSSecurityInfo/status/1460326602982793220
AWS,SageMaker Jupyter Notebook instance CSRF,AWS SageMaker Notebook server lacked a check of the Origin header that led to a CSRF vulnerability. An attacker could have read sensitive data and execute arbitrary actions in customer environments. This issue is identical to GCP's issue from a year earlier.,Medium,"December 2, 2021"," Gafnit Amiga, Lightspin",,https://blog.lightspin.io/aws-sagemaker-notebook-takeover-vulnerability
Azure,NotLegit: App Service vulnerability exposed source code repositories,,High,"December 21, 2021","Shir Tamari, Wiz.io","Remove these permissions, it can be done via an organization policy",https://cloud.google.com/resource-manager/docs/organization-policy/restricting-service-accounts#disable_service_account_default_grants
AWS,Overprivileged AWS Support IAM Role Policy,AWS added s3:getObject action to AWSSupportServiceRolePolicy IAM Policy used by AWS Support teams,Medium,"December 22, 2021",Scott Piper,"Use KMS-CMK for bucket encryption, Use Least privilege on resources policies (Buckets)","https://aws.amazon.com/security/security-bulletins/AWS-2021-007/, https://twitter.com/0xdabbad00/status/1473448889948598275"